;Local;Teatro;Nome;Dia;Hora;Interesse
;Lisboa;Auditorio Da Biblioteca Orlando Ribeiro;Alguem Sabe De Onde Vem As Palavras Mas?;10/abr;10:30;Infantil
;Lisboa;Teatro A Barraca;Encontros Imaginarios;04/abr;19:30;Comedia
;Aveiro;Quartel Das Artes Dr. Alipio;O Principezinho;05/abr;15:00;Infantil
;Aveiro;Casa Da Criatividade;XIV Festival De Teatro Sjm;12/abr;21:00;Musical
;Beja;Cineteatro Camacho Costa;Nao Giacomo Scalisi;15/abr;21:00;Drama
;Braga;Espaco Vita;Processo;08/abr;21:30;Musical
;Braga;Altice Forum Braga;Braga Comedy Fest;08/abr;21:30;Comedia
;Braganca;Teatro Municipal De Bragança;Selvagem;09/abr;21:00;Performance
;Braganca;Centro Cultural De Mirandela;A Republica Alexandrina;25/abr;21:30;Drama
;Castelo Branco;Cine-teatro Avenida;Corpsing;08/abr;21:30;Comedia
;Castelo Branco;Casa Municipal Da Cultura De Seia;Stand-up Sessions;22/abr;21:00;Stand-up
;Coimbra;Cae Figueira Da Foz;Os Monologos Da Vacina Com Joao Baiao ;08/abr;21:30;Comedia
;Coimbra;Convento Sao Francisco;Amores De Leste;13/abr;19:00;Drama
;Evora;Armazém 8;SENSIVEL ;19/abr;22:00;Comedia
;Evora;CINE-TEATRO MUNICIPAL DE ELVAS;MONOLOGOS DA VACINA;22/abr;21:30;STAND UP
;Faro;CINE TEATRO LOULETANO;MUSEU DA EXISTENCIA;16/abr;19:00;Poesia
;Faro;TEATRO DAS FIGURAS;ULTIMA HORA;22/abr;21:00;Drama
;Guarda;ASSOCIACAO ACADEMICA DA GUARDA;DILEMA DE CIRCUNSTANCIA;08/abr;22:00;Drama
;Leiria;CENTRO CULTURAL E CONGRESSOS CALDAS DA RAINHA;COCHINCHINA;14/abr;21:30;STAND UP
;Leiria;CINE-TEATRO MUNICIPAL DE OUREM;A FANFARRA;08/abr;21:30;Comedia
;Lisboa;TEATRO ARMANDO CORTEZ (CASA DO ARTISTA);FELIZ ANIVERSARIO;10/abr;11:00;Infantil
;Lisboa;TEATRO DA TRINDADE INATEL;O BEIJO DA MULHER ARANHA;14/abr;19:00;Poesia
;Lisboa;MAXIME HOTEL;COMEDY THERAPY;14/abr;21:30;Comedia
;Portalegre;CENTRO CULTURAL DE CAMPO MAIOR;A MAIOR FLOR DO MUNDO;09/abr;21:30;Poesia
;Portalegre;CENTRO CULTURAL DE CAMPO MAIOR;NO LIMITE DA DOR;30/abr;21:30;Drama
